time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1716607410.41022325,0.01878223,4790,0.00054443,0.00000000,0,0.00000085,270434,270427,47,0.00061823
1716607410.51026011,0.01934861,4735,0.00042251,0.00000000,0,0.00000102,270427,270437,45,0.00047735
1716607410.61018491,0.01872486,4764,0.00054439,0.00000000,0,0.00000130,270437,270453,52,0.00043447
1716607410.71013141,0.01856522,4793,0.00055467,0.00000000,0,0.00000097,270453,270440,43,0.00052391
1716607410.81049609,0.01824881,4724,0.00039259,0.00000000,0,0.00000141,270440,270412,34,0.00069422
1716607410.91031933,0.01928156,4794,0.00033142,0.00000000,0,0.00000096,270412,270439,37,0.00031177
1716607411.01030493,0.01878035,4751,0.00046846,0.00000000,0,0.00000080,270439,270461,51,0.00049354
1716607411.11031580,0.01868482,4770,0.00028342,0.00000000,0,0.00000126,270461,270470,38,0.00046726
1716607411.21004486,0.01875253,4777,0.00040944,0.00000000,0,0.00000123,270470,270484,45,0.00045632
1716607411.30988312,0.01995297,4727,0.00020351,0.00000000,0,0.00000113,270484,270500,37,0.00048698
1716607411.40992594,0.01828861,4777,0.00020320,0.00000000,0,0.00000110,270500,270519,25,0.00034074
1716607411.51000762,0.01922411,4704,0.00025058,0.00000000,0,0.00000102,270519,270529,40,0.00068138
1716607411.60996747,0.02188728,4764,0.00029783,0.00000000,0,0.00000170,270529,270543,38,0.00046189
1716607411.71003819,0.01772898,4789,0.00042258,0.00000000,0,0.00000109,270543,270535,43,0.00046780
1716607411.80999780,0.01782481,4728,0.00024682,0.00000000,0,0.00000080,270535,270533,40,0.00047154
1716607411.91000175,0.01927506,4865,0.00040249,0.00000000,0,0.00000108,270533,270531,43,0.00051352
1716607412.01026750,0.01948807,4712,0.00018416,0.00000000,0,0.00000125,270531,270540,31,0.00047297
1716607412.11016488,0.01634726,4726,0.00026138,0.00000000,0,0.00000068,270540,270546,30,0.00047372
1716607412.21016312,0.01822029,4800,0.00032596,0.00000000,0,0.00000142,270546,270570,45,0.00073297
1716607412.31029630,0.01683627,4694,0.00039257,0.00000000,0,0.00000058,270570,270583,36,0.00069840
1716607412.41045523,0.01874135,4768,0.00042512,0.00000000,0,0.00000115,270583,270548,40,0.00071112
1716607412.51029444,0.01878374,4736,0.00027869,0.00000000,0,0.00000098,270548,270570,37,0.00022485
1716607412.61045408,0.01798599,4773,0.00024484,0.00000000,0,0.00000090,270570,270589,34,0.00046975
1716607412.71055722,0.01710040,4754,0.00023232,0.00000000,0,0.00000091,270589,270585,31,0.00023004
1716607412.81046557,0.01867771,4821,0.00040350,0.00000000,0,0.00000114,270585,270592,45,0.00051795
1716607412.91061425,0.01828496,4789,0.00018948,0.00000000,0,0.00000090,270592,270598,43,0.00049587
1716607413.01059628,0.01805637,4687,0.00039843,0.00000000,0,0.00000102,270598,270608,52,0.00055011
1716607413.11052108,0.01985229,4721,0.00030218,0.00000000,0,0.00000103,270608,270607,32,0.00052855
1716607413.21053433,0.01693638,4801,0.00018699,0.00000000,0,0.00000082,270607,270607,39,0.00046548
1716607413.31076074,0.01880060,4717,0.00024791,0.00000000,0,0.00000124,270607,270628,43,0.00047913
1716607413.41082692,0.01996099,4797,0.00026205,0.00000000,0,0.00000103,270628,270629,34,0.00022745
1716607413.51069927,0.01877891,4723,0.00011886,0.00000000,0,0.00000092,270629,270627,16,0.00046965
1716607413.61070704,0.01937972,4746,0.00033319,0.00000000,0,0.00000082,270627,270639,29,0.00046850
1716607413.71065474,0.01673188,4779,0.00042943,0.00000000,0,0.00000059,270639,270643,40,0.00022592
1716607413.80997276,0.01889254,4778,0.00028969,0.00000000,0,0.00000098,270643,270655,29,0.00049894
1716607413.91087937,0.01812361,4822,0.00015356,0.00000000,0,0.00000084,270655,270666,25,0.00048701
1716607414.01015425,0.01864416,4679,0.00029344,0.00000000,0,0.00000102,270666,270685,32,0.00046348
1716607414.11026287,0.01919892,4720,0.00020061,0.00000000,0,0.00000090,270685,270674,29,0.00021863
1716607414.21098661,0.01685367,4792,0.00026754,0.00000000,0,0.00000095,270674,270648,52,0.00051394
1716607414.31096363,0.01804899,4692,0.00019363,0.00000000,0,0.00000095,270648,270670,34,0.00046842
1716607414.41016221,0.01815647,4833,0.00026376,0.00000000,0,0.00000081,270670,270679,35,0.00046944
1716607414.51015139,0.01897930,4702,0.00032875,0.00000000,0,0.00000095,270679,270692,40,0.00046204
1716607414.61015654,0.01799100,4734,0.00041479,0.00000000,0,0.00000099,270692,270709,41,0.00046342
1716607414.71053457,0.02094934,4802,0.00025366,0.00000000,0,0.00000090,270709,270720,34,0.00055110
1716607414.81035638,0.01933769,4670,0.00032527,0.00000000,0,0.00000140,270720,270737,26,0.00055608
1716607414.91027713,0.01811333,4794,0.00023532,0.00000000,0,0.00000133,270737,270735,34,0.00046079
1716607415.01026964,0.01904339,4714,0.00026867,0.00000000,0,0.00000104,270735,270731,26,0.00029134
1716607415.11035013,0.02022711,4702,0.00042246,0.00000000,0,0.00000100,270731,270706,36,0.00047516
1716607415.21000886,0.01957368,4739,0.00032431,0.00000000,0,0.00000092,270706,270720,29,0.00056376
